Financial Benchmarks India Pvt Ltd
Reference Rates
Date,Time,Currency Pairs,Rate,Comments
25 Feb 2026,1:00:00 PM,INR / 100 JPY,58.44,
24 Feb 2026,1:00:00 PM,INR / 1 USD,90.9661,
24 Feb 2026,1:00:00 PM,INR / 1 GBP,122.702,
24 Feb 2026,1:00:00 PM,INR / 1 EUR,107.156,
24 Feb 2026,1:00:00 PM,INR / 100 JPY,58.65,
23 Feb 2026,1:00:00 PM,INR / 1 USD,90.7461,
23 Feb 2026,1:00:00 PM,INR / 1 GBP,122.744,
23 Feb 2026,1:00:00 PM,INR / 1 EUR,107.304,
23 Feb 2026,1:00:00 PM,INR / 100 JPY,58.8,
20 Feb 2026,1:00:00 PM,INR / 1 USD,90.9518,
20 Feb 2026,1:00:00 PM,INR / 1 GBP,122.293,
20 Feb 2026,1:00:00 PM,INR / 1 EUR,106.906,
20 Feb 2026,1:00:00 PM,INR / 100 JPY,58.6,
18 Feb 2026,1:00:00 PM,INR / 1 USD,90.6669,
18 Feb 2026,1:00:00 PM,INR / 1 GBP,122.927,
18 Feb 2026,1:00:00 PM,INR / 1 EUR,107.39,
18 Feb 2026,1:00:00 PM,INR / 100 JPY,59.09,
17 Feb 2026,1:00:00 PM,INR / 1 USD,90.7744,
17 Feb 2026,1:00:00 PM,INR / 1 GBP,123.57,
17 Feb 2026,1:00:00 PM,INR / 1 EUR,107.521,
17 Feb 2026,1:00:00 PM,INR / 100 JPY,59.38,
16 Feb 2026,1:00:00 PM,INR / 1 USD,90.7125,
16 Feb 2026,1:00:00 PM,INR / 1 GBP,123.757,
16 Feb 2026,1:00:00 PM,INR / 1 EUR,107.65,
16 Feb 2026,1:00:00 PM,INR / 100 JPY,59.24,
13 Feb 2026,1:00:00 PM,INR / 1 USD,90.7415,
13 Feb 2026,1:00:00 PM,INR / 1 GBP,123.446,
13 Feb 2026,1:00:00 PM,INR / 1 EUR,107.622,
13 Feb 2026,1:00:00 PM,INR / 100 JPY,59.2,
12 Feb 2026,1:00:00 PM,INR / 1 USD,90.5947,
12 Feb 2026,1:00:00 PM,INR / 1 GBP,123.359,
12 Feb 2026,1:00:00 PM,INR / 1 EUR,107.445,
